start,end,val,accn,fy,fp,form,filed,frame
2024-01-01,2024-12-31,296286000,0001628280-25-005118,2024,FY,10-K,2025-02-12,CY2024
2023-01-01,2023-12-31,217770000,0001628280-25-005118,2024,FY,10-K,2025-02-12,CY2023
2023-01-01,2023-12-31,217770000,0001628280-24-003863,2023,FY,10-K,2024-02-08,
2022-01-01,2022-12-31,196132000,0001628280-25-005118,2024,FY,10-K,2025-02-12,CY2022
2022-01-01,2022-12-31,196132000,0001628280-24-003863,2023,FY,10-K,2024-02-08,
2022-01-01,2022-12-31,196132000,0001628280-23-002955,2022,FY,10-K,2023-02-09,
2021-01-01,2021-12-31,192351000,0001628280-24-003863,2023,FY,10-K,2024-02-08,CY2021
2021-01-01,2021-12-31,192351000,0001628280-23-002955,2022,FY,10-K,2023-02-09,
2021-01-01,2021-12-31,192351000,0001628280-22-002842,2021,FY,10-K,2022-02-16,
2020-01-01,2020-12-31,178332000,0001628280-22-002842,2021,FY,10-K,2022-02-16,
2020-01-01,2020-12-31,178332000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2020-01-01,2020-12-31,178332000,0001628280-23-002955,2022,FY,10-K,2023-02-09,CY2020
2020-10-01,2020-12-31,44137000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2020Q4
2020-07-01,2020-09-30,45687000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2020-04-01,2020-06-30,44168000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2020-01-01,2020-03-31,44340000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2019-10-01,2019-12-31,44228000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2019Q4
2019-10-01,2019-12-31,44228000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2019-01-01,2019-12-31,163401000,0001628280-22-002842,2021,FY,10-K,2022-02-16,CY2019
2019-01-01,2019-12-31,163401000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2019-01-01,2019-12-31,163401000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2019-07-01,2019-09-30,33314000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2019-07-01,2019-09-30,33314000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2019Q3
2019-04-01,2019-06-30,46201000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2019Q2
2019-04-01,2019-06-30,46201000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2019-01-01,2019-03-31,39658000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2019Q1
2019-01-01,2019-03-31,39658000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2018-01-01,2018-12-31,156941000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2018-10-01,2018-12-31,40361000,0001628280-20-001900,2019,FY,10-K,2020-02-20,CY2018Q4
2018-10-01,2018-12-31,40361000,0001628280-19-001311,2018,FY,10-K,2019-02-13,
2018-01-01,2018-12-31,156941000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2018
2018-01-01,2018-12-31,156941000,0001628280-19-001311,2018,FY,10-K,2019-02-13,
