start,end,val,accn,fy,fp,form,filed,frame
2014-10-01,2014-12-31,56990000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2014Q4
2014-01-01,2014-12-31,221349000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2014
2014-07-02,2014-09-30,61713000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2014-04-02,2014-07-01,46817000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2014-04-01,2014-06-30,46817000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2014Q2
2014-01-01,2014-03-31,55829000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2013-10-03,2013-12-31,47206000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2013-10-01,2013-12-31,47206000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2013Q4
2013-01-01,2013-12-31,172521000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013
2013-01-01,2013-12-31,172521000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-07-01,2013-09-30,38137000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-07-01,2013-09-30,38137000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013Q3
2013-04-01,2013-06-30,49058000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013Q2
2013-04-01,2013-06-30,49058000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-01-01,2013-03-31,38120000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013Q1
2013-01-01,2013-03-31,38120000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2012-10-01,2012-12-31,33923000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2012Q4
2012-10-01,2012-12-31,33923000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-01-01,2012-12-31,120698000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2012
2012-01-01,2012-12-31,120698000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2012-01-01,2012-12-31,120698000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-07-01,2012-09-30,30119000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-07-01,2012-09-30,30119000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2012Q3
2012-04-01,2012-06-30,30572000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2012-04-01,2012-06-30,30572000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-01-01,2012-03-31,26084000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2012Q1
2012-01-01,2012-03-31,26084000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2011-10-01,2011-12-31,19293000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q4
2011-10-01,2011-12-31,19293000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-01-01,2011-12-31,52606000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2011
2011-01-01,2011-12-31,52606000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2011-01-01,2011-12-31,52606000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-07-01,2011-09-30,21436000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q3
2011-07-01,2011-09-30,21436000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-04-01,2011-06-30,17790000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-04-01,2011-06-30,17790000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q2
2011-01-01,2011-03-31,-5913000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q1
2011-01-01,2011-03-31,-5913000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2010-10-01,2010-12-31,4969000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q4
2010-01-01,2010-12-31,58436000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2010
2010-01-01,2010-12-31,58436000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2010-01-01,2010-12-31,58436000,0000888491-11-000015,2010,FY,10-K,2011-02-28,
2010-07-01,2010-09-30,17007000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q3
2010-04-01,2010-06-30,15509000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q2
2010-01-01,2010-03-31,20951000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q1
2009-01-01,2009-12-31,82111000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2009
2009-01-01,2009-12-31,82111000,0000888491-11-000015,2010,FY,10-K,2011-02-28,
2008-01-01,2008-12-31,78137000,0000888491-11-000015,2010,FY,10-K,2011-02-28,CY2008
