start,end,val,accn,fy,fp,form,filed,frame
2024-01-01,2024-12-31,1051390000,0000888491-25-000006,2024,FY,10-K,2025-02-13,CY2024
2023-01-01,2023-12-31,949740000,0000888491-25-000006,2024,FY,10-K,2025-02-13,CY2023
2023-01-01,2023-12-31,949740000,0000888491-24-000007,2023,FY,10-K,2024-02-12,
2022-01-01,2022-12-31,878244000,0000888491-25-000006,2024,FY,10-K,2025-02-13,CY2022
2022-01-01,2022-12-31,878244000,0000888491-24-000007,2023,FY,10-K,2024-02-12,
2022-01-01,2022-12-31,878244000,0000888491-23-000006,2022,FY,10-K,2023-02-14,
2021-01-01,2021-12-31,1062809000,0000888491-23-000006,2022,FY,10-K,2023-02-14,
2021-01-01,2021-12-31,1062809000,0000888491-22-000007,2021,FY,10-K,2022-02-17,
2021-01-01,2021-12-31,1062809000,0000888491-24-000007,2023,FY,10-K,2024-02-12,CY2021
2020-01-01,2020-12-31,892381000,0000888491-23-000006,2022,FY,10-K,2023-02-14,CY2020
2020-01-01,2020-12-31,892381000,0000888491-22-000007,2021,FY,10-K,2022-02-17,
2020-01-01,2020-12-31,892381000,0000888491-21-000006,2020,FY,10-K,2021-02-22,
2019-10-01,2019-12-31,246668000,0000888491-20-000007,2019,FY,10-K,2020-02-28,CY2019Q4
2019-01-01,2019-12-31,928830000,0000888491-22-000007,2021,FY,10-K,2022-02-17,CY2019
2019-01-01,2019-12-31,928830000,0000888491-21-000006,2020,FY,10-K,2021-02-22,
2019-01-01,2019-12-31,928830000,0000888491-20-000007,2019,FY,10-K,2020-02-28,
2019-07-01,2019-09-30,233195000,0000888491-20-000007,2019,FY,10-K,2020-02-28,
2019-04-01,2019-06-30,225279000,0000888491-20-000007,2019,FY,10-K,2020-02-28,
2019-01-01,2019-03-31,223688000,0000888491-20-000007,2019,FY,10-K,2020-02-28,
2018-10-01,2018-12-31,219750000,0000888491-19-000006,2018,FY,10-K,2019-02-26,
2018-01-01,2018-12-31,881682000,0000888491-21-000006,2020,FY,10-K,2021-02-22,CY2018
2018-01-01,2018-12-31,881682000,0000888491-20-000007,2019,FY,10-K,2020-02-28,
2018-01-01,2018-12-31,881682000,0000888491-19-000006,2018,FY,10-K,2019-02-26,
2018-10-01,2018-12-31,219750000,0000888491-20-000007,2019,FY,10-K,2020-02-28,CY2018Q4
2018-07-01,2018-09-30,221852000,0000888491-20-000007,2019,FY,10-K,2020-02-28,CY2018Q3
2018-07-01,2018-09-30,221852000,0000888491-19-000006,2018,FY,10-K,2019-02-26,
2018-04-01,2018-06-30,219881000,0000888491-19-000006,2018,FY,10-K,2019-02-26,
2018-04-01,2018-06-30,219881000,0000888491-20-000007,2019,FY,10-K,2020-02-28,CY2018Q2
2018-01-01,2018-03-31,220199000,0000888491-20-000007,2019,FY,10-K,2020-02-28,CY2018Q1
2018-01-01,2018-03-31,220199000,0000888491-19-000006,2018,FY,10-K,2019-02-26,
2017-10-01,2017-12-31,221206000,0000888491-19-000006,2018,FY,10-K,2019-02-26,CY2017Q4
2017-01-01,2017-12-31,908385000,0000888491-20-000007,2019,FY,10-K,2020-02-28,CY2017
2017-01-01,2017-12-31,908385000,0000888491-19-000006,2018,FY,10-K,2019-02-26,
2017-07-01,2017-09-30,219638000,0000888491-19-000006,2018,FY,10-K,2019-02-26,CY2017Q3
2017-04-01,2017-06-30,235797000,0000888491-19-000006,2018,FY,10-K,2019-02-26,CY2017Q2
2017-01-01,2017-03-31,231744000,0000888491-19-000006,2018,FY,10-K,2019-02-26,CY2017Q1
2016-01-01,2016-12-31,900827000,0000888491-19-000006,2018,FY,10-K,2019-02-26,CY2016
