start,end,val,accn,fy,fp,form,filed,frame
2025-04-01,2025-06-30,282506000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,CY2025Q2
2025-01-01,2025-06-30,559291000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,
2025-01-01,2025-03-31,276785000,0000888491-25-000016,2025,Q1,10-Q,2025-05-02,CY2025Q1
2024-01-01,2024-12-31,1051390000,0000888491-25-000006,2024,FY,10-K,2025-02-13,CY2024
2024-07-01,2024-09-30,276028000,0000888491-24-000043,2024,Q3,10-Q,2024-10-31,CY2024Q3
2024-01-01,2024-09-30,772072000,0000888491-24-000043,2024,Q3,10-Q,2024-10-31,
2024-04-01,2024-06-30,252745000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,CY2024Q2
2024-04-01,2024-06-30,252745000,0000888491-24-000036,2024,Q2,10-Q,2024-08-02,
2024-01-01,2024-06-30,496044000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,
2024-01-01,2024-06-30,496044000,0000888491-24-000036,2024,Q2,10-Q,2024-08-02,
2024-01-01,2024-03-31,243299000,0000888491-25-000016,2025,Q1,10-Q,2025-05-02,CY2024Q1
2024-01-01,2024-03-31,243299000,0000888491-24-000030,2024,Q1,10-Q,2024-05-03,
2023-01-01,2023-12-31,949740000,0000888491-24-000007,2023,FY,10-K,2024-02-12,
2023-01-01,2023-12-31,949740000,0000888491-25-000006,2024,FY,10-K,2025-02-13,CY2023
2023-07-01,2023-09-30,242032000,0000888491-24-000043,2024,Q3,10-Q,2024-10-31,CY2023Q3
2023-07-01,2023-09-30,242032000,0000888491-23-000033,2023,Q3,10-Q,2023-11-03,
2023-01-01,2023-09-30,710421000,0000888491-24-000043,2024,Q3,10-Q,2024-10-31,
2023-01-01,2023-09-30,710421000,0000888491-23-000033,2023,Q3,10-Q,2023-11-03,
2023-04-01,2023-06-30,250187000,0000888491-24-000036,2024,Q2,10-Q,2024-08-02,CY2023Q2
2023-04-01,2023-06-30,250187000,0000888491-23-000023,2023,Q2,10-Q,2023-08-03,
2023-01-01,2023-06-30,468389000,0000888491-24-000036,2024,Q2,10-Q,2024-08-02,
2023-01-01,2023-06-30,468389000,0000888491-23-000023,2023,Q2,10-Q,2023-08-03,
2023-01-01,2023-03-31,218202000,0000888491-24-000030,2024,Q1,10-Q,2024-05-03,CY2023Q1
2023-01-01,2023-03-31,218202000,0000888491-23-000015,2023,Q1,10-Q,2023-05-03,
2022-01-01,2022-12-31,878244000,0000888491-24-000007,2023,FY,10-K,2024-02-12,
2022-01-01,2022-12-31,878244000,0000888491-23-000006,2022,FY,10-K,2023-02-14,
2022-01-01,2022-12-31,878244000,0000888491-25-000006,2024,FY,10-K,2025-02-13,CY2022
2022-07-01,2022-09-30,239430000,0000888491-23-000033,2023,Q3,10-Q,2023-11-03,CY2022Q3
2022-07-01,2022-09-30,239430000,0000888491-22-000029,2022,Q3,10-Q,2022-11-03,
2022-01-01,2022-09-30,733394000,0000888491-23-000033,2023,Q3,10-Q,2023-11-03,
2022-01-01,2022-09-30,733394000,0000888491-22-000029,2022,Q3,10-Q,2022-11-03,
2022-04-01,2022-06-30,244649000,0000888491-23-000023,2023,Q2,10-Q,2023-08-03,CY2022Q2
2022-04-01,2022-06-30,244649000,0000888491-22-000023,2022,Q2,10-Q,2022-08-02,
