start,end,val,accn,fy,fp,form,filed,frame
2024-01-01,2024-12-31,126712000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2024
2023-01-01,2023-12-31,13756000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2023
2023-01-01,2023-12-31,13756000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2022-01-01,2022-12-31,-77605000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2022
2022-01-01,2022-12-31,-77605000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2022-01-01,2022-12-31,-77605000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2021-01-01,2021-12-31,-113256000,0001492298-24-000008,2023,FY,10-K,2024-02-27,CY2021
2021-01-01,2021-12-31,-113256000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2021-01-01,2021-12-31,-113256000,0001492298-22-000014,2021,FY,10-K,2022-02-22,
2020-01-01,2020-12-31,138417000,0001492298-22-000014,2021,FY,10-K,2022-02-22,
2020-01-01,2020-12-31,138417000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2020-01-01,2020-12-31,138417000,0001492298-23-000006,2022,FY,10-K,2023-02-21,CY2020
2019-01-01,2019-12-31,68996000,0001492298-22-000014,2021,FY,10-K,2022-02-22,CY2019
2019-01-01,2019-12-31,68996000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2019-01-01,2019-12-31,68996000,0001492298-20-000007,2019,FY,10-K,2020-02-24,
2018-01-01,2018-12-31,279082000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2018-01-01,2018-12-31,279082000,0001492298-20-000007,2019,FY,10-K,2020-02-24,
2018-01-01,2018-12-31,279082000,0001492298-19-000006,2018,FY,10-K,2019-02-25,
2017-01-01,2017-12-31,158383000,0001492298-19-000006,2018,FY,10-K,2019-02-25,
2017-01-01,2017-12-31,158383000,0001492298-20-000007,2019,FY,10-K,2020-02-24,CY2017
2017-01-01,2017-12-31,158383000,0001492298-18-000008,2017,FY,10-K,2018-02-21,
2016-01-01,2016-12-31,70276000,0001492298-18-000008,2017,FY,10-K,2018-02-21,
2016-01-01,2016-12-31,70276000,0001492298-17-000006,2016,FY,10-K,2017-02-22,
2016-01-01,2016-12-31,70276000,0001492298-19-000006,2018,FY,10-K,2019-02-25,CY2016
2015-01-01,2015-12-31,79413000,0001492298-18-000008,2017,FY,10-K,2018-02-21,CY2015
2015-01-01,2015-12-31,79413000,0001492298-17-000006,2016,FY,10-K,2017-02-22,
2015-01-01,2015-12-31,79413000,0001492298-16-000054,2015,FY,10-K,2016-02-22,
2014-01-01,2014-12-31,46952000,0001492298-15-000010,2014,FY,10-K,2015-02-19,
2014-01-01,2014-12-31,46952000,0001492298-17-000006,2016,FY,10-K,2017-02-22,CY2014
2014-01-01,2014-12-31,46952000,0001492298-16-000054,2015,FY,10-K,2016-02-22,
2013-01-01,2013-12-31,33715000,0001492298-15-000010,2014,FY,10-K,2015-02-19,
2013-01-01,2013-12-31,33715000,0001492298-14-000011,2013,FY,10-K,2014-02-28,
2013-01-01,2013-12-31,33715000,0001492298-16-000054,2015,FY,10-K,2016-02-22,CY2013
2012-01-01,2012-12-31,19513000,0001492298-15-000010,2014,FY,10-K,2015-02-19,CY2012
2012-01-01,2012-12-31,19513000,0001492298-14-000011,2013,FY,10-K,2014-02-28,
2012-01-01,2012-12-31,19513000,0001492298-13-000009,2012,FY,10-K,2013-03-14,
2011-01-01,2011-12-31,12842000,0001492298-12-000012,2011,FY,10-K,2012-03-01,
2011-01-01,2011-12-31,12842000,0001492298-14-000011,2013,FY,10-K,2014-02-28,CY2011
2011-01-01,2011-12-31,12842000,0001492298-13-000009,2012,FY,10-K,2013-03-14,
2010-11-16,2010-12-31,7000,0001492298-13-000009,2012,FY,10-K,2013-03-14,
2010-11-15,2010-12-31,7000,0001492298-12-000012,2011,FY,10-K,2012-03-01,CY2010Q4
