series_id,series_name,year,period,period_name,value,latest
CES6562310001,Total Employees,2024,M12,December,1515.4,False
CES6562310001,Total Employees,2024,M11,November,1508.5,False
CES6562310001,Total Employees,2024,M10,October,1501.0,False
CES6562310001,Total Employees,2024,M09,September,1497.7,False
CES6562310001,Total Employees,2024,M08,August,1493.7,False
CES6562310001,Total Employees,2024,M07,July,1493.5,False
CES6562310001,Total Employees,2024,M06,June,1490.1,False
CES6562310001,Total Employees,2024,M05,May,1489.0,False
CES6562310001,Total Employees,2024,M04,April,1488.9,False
CES6562310001,Total Employees,2024,M03,March,1484.0,False
CES6562310001,Total Employees,2024,M02,February,1472.7,False
CES6562310001,Total Employees,2024,M01,January,1468.5,False
CES6562310001,Total Employees,2023,M12,December,1458.9,False
CES6562310001,Total Employees,2023,M11,November,1456.3,False
CES6562310001,Total Employees,2023,M10,October,1449.1,False
CES6562310001,Total Employees,2023,M09,September,1441.9,False
CES6562310001,Total Employees,2023,M08,August,1439.3,False
CES6562310001,Total Employees,2023,M07,July,1427.2,False
CES6562310001,Total Employees,2023,M06,June,1419.4,False
CES6562310001,Total Employees,2023,M05,May,1410.0,False
CES6562310001,Total Employees,2023,M04,April,1402.7,False
CES6562310001,Total Employees,2023,M03,March,1396.1,False
CES6562310001,Total Employees,2023,M02,February,1391.2,False
CES6562310001,Total Employees,2023,M01,January,1384.1,False
CES6562310001,Total Employees,2022,M12,December,1377.2,False
CES6562310001,Total Employees,2022,M11,November,1371.3,False
CES6562310001,Total Employees,2022,M10,October,1369.2,False
CES6562310001,Total Employees,2022,M09,September,1364.0,False
CES6562310001,Total Employees,2022,M08,August,1357.4,False
CES6562310001,Total Employees,2022,M07,July,1354.8,False
CES6562310001,Total Employees,2022,M06,June,1350.4,False
CES6562310001,Total Employees,2022,M05,May,1347.5,False
CES6562310001,Total Employees,2022,M04,April,1343.4,False
CES6562310001,Total Employees,2022,M03,March,1339.4,False
CES6562310001,Total Employees,2022,M02,February,1342.2,False
