series_id,series_name,year,period,period_name,value,latest
PCU623110623110,PPI Overall,2024,M13,Annual,277.772,False
PCU623110623110,PPI Overall,2024,M12,December,283.049,False
PCU623110623110,PPI Overall,2024,M11,November,281.094,False
PCU623110623110,PPI Overall,2024,M10,October,280.816,False
PCU623110623110,PPI Overall,2024,M09,September,277.284,False
PCU623110623110,PPI Overall,2024,M08,August,276.702,False
PCU623110623110,PPI Overall,2024,M07,July,275.38,False
PCU623110623110,PPI Overall,2024,M06,June,275.096,False
PCU623110623110,PPI Overall,2024,M05,May,275.33,False
PCU623110623110,PPI Overall,2024,M04,April,275.221,False
PCU623110623110,PPI Overall,2024,M03,March,277.659,False
PCU623110623110,PPI Overall,2024,M02,February,277.675,False
PCU623110623110,PPI Overall,2024,M01,January,277.964,False
PCU623110623110,PPI Overall,2023,M13,Annual,268.435,False
PCU623110623110,PPI Overall,2023,M12,December,276.493,False
PCU623110623110,PPI Overall,2023,M11,November,273.296,False
PCU623110623110,PPI Overall,2023,M10,October,272.556,False
PCU623110623110,PPI Overall,2023,M09,September,269.698,False
PCU623110623110,PPI Overall,2023,M08,August,269.526,False
PCU623110623110,PPI Overall,2023,M07,July,268.44,False
PCU623110623110,PPI Overall,2023,M06,June,265.014,False
PCU623110623110,PPI Overall,2023,M05,May,265.193,False
PCU623110623110,PPI Overall,2023,M04,April,265.335,False
PCU623110623110,PPI Overall,2023,M03,March,266.35,False
PCU623110623110,PPI Overall,2023,M02,February,265.424,False
PCU623110623110,PPI Overall,2023,M01,January,263.895,False
PCU623110623110,PPI Overall,2022,M13,Annual,253.473,False
PCU623110623110,PPI Overall,2022,M12,December,260.73,False
PCU623110623110,PPI Overall,2022,M11,November,260.49,False
PCU623110623110,PPI Overall,2022,M10,October,259.523,False
PCU623110623110,PPI Overall,2022,M09,September,256.267,False
PCU623110623110,PPI Overall,2022,M08,August,255.988,False
PCU623110623110,PPI Overall,2022,M07,July,254.149,False
PCU623110623110,PPI Overall,2022,M06,June,249.669,False
PCU623110623110,PPI Overall,2022,M05,May,249.145,False
PCU623110623110,PPI Overall,2022,M04,April,249.087,False
PCU623110623110,PPI Overall,2022,M03,March,248.877,False
PCU623110623110,PPI Overall,2022,M02,February,248.57,False
PCU623110623110,PPI Overall,2022,M01,January,249.183,False
PCU623110623110,PPI Overall,2021,M13,Annual,246.038,False
PCU623110623110,PPI Overall,2021,M12,December,248.229,False
PCU623110623110,PPI Overall,2021,M11,November,248.263,False
PCU623110623110,PPI Overall,2021,M10,October,247.553,False
PCU623110623110,PPI Overall,2021,M09,September,246.264,False
PCU623110623110,PPI Overall,2021,M08,August,246.401,False
PCU623110623110,PPI Overall,2021,M07,July,245.567,False
PCU623110623110,PPI Overall,2021,M06,June,244.9,False
PCU623110623110,PPI Overall,2021,M05,May,244.0,False
PCU623110623110,PPI Overall,2021,M04,April,243.7,False
PCU623110623110,PPI Overall,2021,M03,March,246.0,False
