STATE,property_count,total_beds,AL,IL,Multiservice Campus,SNF
CA,64,8111,10,1,13,40
IL,57,4873,7,2,2,46
TX,43,5425,2,0,3,38
WA,41,3489,8,2,0,31
ID,34,2506,5,1,1,27
TN,29,3067,0,0,0,29
OR,22,1398,1,4,0,17
WV,19,1973,0,0,2,17
VA,16,1922,0,0,0,16
NC,14,1603,2,0,3,9
AZ,14,1572,4,0,0,10
UT,13,1374,2,1,1,9
MO,11,1467,2,0,2,7
CO,8,913,2,0,0,6
LA,8,1164,0,0,1,7
MD,7,707,0,1,2,4
MT,6,445,1,0,0,5
GA,5,889,0,0,0,5
NE,5,366,0,0,2,3
NV,5,438,3,0,0,2
IA,5,354,0,0,2,3
OH,4,379,1,0,2,1
PA,4,597,0,0,0,4
WI,2,89,2,0,0,0
MN,2,62,2,0,0,0
FL,2,115,0,0,0,2
KS,1,102,0,0,0,1
SD,1,68,0,0,0,1
SC,1,108,0,0,0,1
NM,1,129,0,0,0,1
ND,1,63,0,0,0,1
AL,1,91,0,0,0,1
MI,1,66,1,0,0,0
AK,1,102,0,0,0,1
