start,end,val,accn,fy,fp,form,filed,frame
2025-04-01,2025-06-30,112469000,0001628280-25-038321,2025,Q2,10-Q,2025-08-06,CY2025Q2
2025-01-01,2025-06-30,209090000,0001628280-25-038321,2025,Q2,10-Q,2025-08-06,
2025-01-01,2025-03-31,96621000,0001628280-25-021524,2025,Q1,10-Q,2025-05-01,CY2025Q1
2024-01-01,2024-12-31,296286000,0001628280-25-005118,2024,FY,10-K,2025-02-12,CY2024
2024-07-01,2024-09-30,77381000,0001628280-24-044095,2024,Q3,10-Q,2024-10-29,CY2024Q3
2024-01-01,2024-09-30,209342000,0001628280-24-044095,2024,Q3,10-Q,2024-10-29,
2024-04-01,2024-06-30,68891000,0001628280-25-038321,2025,Q2,10-Q,2025-08-06,CY2024Q2
2024-04-01,2024-06-30,68891000,0001628280-24-034247,2024,Q2,10-Q,2024-08-02,
2024-01-01,2024-06-30,131961000,0001628280-25-038321,2025,Q2,10-Q,2025-08-06,
2024-01-01,2024-06-30,131961000,0001628280-24-034247,2024,Q2,10-Q,2024-08-02,
2024-01-01,2024-03-31,63070000,0001628280-24-019995,2024,Q1,10-Q,2024-05-02,
2024-01-01,2024-03-31,63070000,0001628280-25-021524,2025,Q1,10-Q,2025-05-01,CY2024Q1
2023-01-01,2023-12-31,217770000,0001628280-25-005118,2024,FY,10-K,2025-02-12,CY2023
2023-01-01,2023-12-31,217770000,0001628280-24-003863,2023,FY,10-K,2024-02-08,
2023-07-01,2023-09-30,55877000,0001628280-24-044095,2024,Q3,10-Q,2024-10-29,CY2023Q3
2023-07-01,2023-09-30,55877000,0001628280-23-038221,2023,Q3,10-Q,2023-11-09,
2023-01-01,2023-09-30,158036000,0001628280-24-044095,2024,Q3,10-Q,2024-10-29,
2023-01-01,2023-09-30,158036000,0001628280-23-038221,2023,Q3,10-Q,2023-11-09,
2023-04-01,2023-06-30,51553000,0001628280-24-034247,2024,Q2,10-Q,2024-08-02,CY2023Q2
2023-04-01,2023-06-30,51553000,0001628280-23-027216,2023,Q2,10-Q,2023-08-03,
2023-01-01,2023-06-30,102159000,0001628280-24-034247,2024,Q2,10-Q,2024-08-02,
2023-01-01,2023-06-30,102159000,0001628280-23-027216,2023,Q2,10-Q,2023-08-03,
2023-01-01,2023-03-31,50606000,0001628280-24-019995,2024,Q1,10-Q,2024-05-02,CY2023Q1
