end,val,accn,fy,fp,form,filed,frame
2024-12-31,2908417000,0001628280-25-005118,2024,FY,10-K,2025-02-12,
2023-12-31,1416819000,0001628280-25-005118,2024,FY,10-K,2025-02-12,CY2023Q4I
2023-12-31,1416819000,0001628280-24-003863,2023,FY,10-K,2024-02-08,
2022-12-31,849373000,0001628280-24-003863,2023,FY,10-K,2024-02-08,CY2022Q4I
2022-12-31,849373000,0001628280-23-002955,2022,FY,10-K,2023-02-09,
2021-12-31,915757000,0001628280-23-002955,2022,FY,10-K,2023-02-09,
2021-12-31,915757000,0001628280-22-002842,2021,FY,10-K,2022-02-16,
2020-12-31,914142000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2020-12-31,914142000,0001628280-22-002842,2021,FY,10-K,2022-02-16,
2020-12-31,914142000,0001628280-23-002955,2022,FY,10-K,2023-02-09,CY2020Q4I
2019-12-31,927591000,0001628280-23-002955,2022,FY,10-K,2023-02-09,CY2019Q4I
2019-12-31,927591000,0001628280-22-002842,2021,FY,10-K,2022-02-16,
2019-12-31,927591000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2019-12-31,927591000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2018-12-31,768247000,0001628280-22-002842,2021,FY,10-K,2022-02-16,CY2018Q4I
2018-12-31,768247000,0001628280-21-001797,2020,FY,10-K,2021-02-10,
2018-12-31,768247000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2018-12-31,768247000,0001628280-19-001311,2018,FY,10-K,2019-02-13,
2017-12-31,594617000,0001628280-21-001797,2020,FY,10-K,2021-02-10,CY2017Q4I
2017-12-31,594617000,0001628280-20-001900,2019,FY,10-K,2020-02-20,
2017-12-31,594617000,0001628280-18-002343,2017,FY,10-K,2018-02-27,
2017-12-31,594617000,0001628280-19-001311,2018,FY,10-K,2019-02-13,
2016-12-31,452430000,0001628280-20-001900,2019,FY,10-K,2020-02-20,CY2016Q4I
2016-12-31,452430000,0001628280-19-001311,2018,FY,10-K,2019-02-13,
2016-12-31,452430000,0001628280-18-002343,2017,FY,10-K,2018-02-27,
2016-12-31,452430000,0001628280-17-000941,2016,FY,10-K,2017-02-07,
2015-12-31,262288000,0001628280-16-011018,2015,FY,10-K,2016-02-11,
2015-12-31,262288000,0001628280-18-002343,2017,FY,10-K,2018-02-27,
2015-12-31,262288000,0001628280-17-000941,2016,FY,10-K,2017-02-07,
2015-12-31,262288000,0001628280-19-001311,2018,FY,10-K,2019-02-13,CY2015Q4I
2014-12-31,113462000,0001628280-18-002343,2017,FY,10-K,2018-02-27,CY2014Q4I
2014-12-31,113462000,0001628280-17-000941,2016,FY,10-K,2017-02-07,
2014-12-31,113462000,0001628280-16-011018,2015,FY,10-K,2016-02-11,
2014-12-31,113462000,0001193125-15-044220,2014,FY,10-K,2015-02-11,
2013-12-31,162689000,0001628280-17-000941,2016,FY,10-K,2017-02-07,CY2013Q4I
2013-12-31,162689000,0001628280-16-011018,2015,FY,10-K,2016-02-11,
2013-12-31,162689000,0001193125-15-044220,2014,FY,10-K,2015-02-11,
2012-12-31,184548000,0001628280-16-011018,2015,FY,10-K,2016-02-11,CY2012Q4I
2012-12-31,184548000,0001193125-15-044220,2014,FY,10-K,2015-02-11,
2011-12-31,179609000,0001193125-15-044220,2014,FY,10-K,2015-02-11,CY2011Q4I
