end,val,accn,fy,fp,form,filed,frame
2025-06-30,5000433000,0000888491-25-000025,2025.0,Q2,10-Q,2025-08-01,CY2025Q2I
2025-03-31,4446263000,0000888491-25-000016,2025.0,Q1,10-Q,2025-05-02,CY2025Q1I
2024-12-31,4838859000,0000888491-25-000025,2025.0,Q2,10-Q,2025-08-01,CY2024Q4I
2024-12-31,4838859000,0000888491-25-000016,2025.0,Q1,10-Q,2025-05-02,
2024-12-31,4838859000,0000888491-25-000006,2024.0,FY,10-K,2025-02-13,
2024-09-30,4858202000,0000888491-24-000043,2024.0,Q3,10-Q,2024-10-31,CY2024Q3I
2024-06-30,4660604000,0000888491-24-000036,2024.0,Q2,10-Q,2024-08-02,CY2024Q2I
2024-03-31,5028152000,0000888491-24-000030,2024.0,Q1,10-Q,2024-05-03,CY2024Q1I
2023-12-31,5067316000,0000888491-24-000036,2024.0,Q2,10-Q,2024-08-02,
2023-12-31,5067316000,0000888491-24-000030,2024.0,Q1,10-Q,2024-05-03,
2023-12-31,5067316000,0000888491-24-000007,2023.0,FY,10-K,2024-02-12,
2023-12-31,5067316000,0000888491-24-000043,2024.0,Q3,10-Q,2024-10-31,
2023-12-31,5067316000,0000888491-25-000006,2024.0,FY,10-K,2025-02-13,CY2023Q4I
2023-09-30,5291272000,0000888491-23-000033,2023.0,Q3,10-Q,2023-11-03,CY2023Q3I
2023-06-30,5286878000,0000888491-23-000023,2023.0,Q2,10-Q,2023-08-03,CY2023Q2I
2023-03-31,5287934000,0000888491-23-000015,2023.0,Q1,10-Q,2023-05-03,CY2023Q1I
2022-12-31,5286834000,0000888491-24-000007,2023.0,FY,10-K,2024-02-12,CY2022Q4I
2022-12-31,5286834000,0000888491-23-000033,2023.0,Q3,10-Q,2023-11-03,
2022-12-31,5286834000,0000888491-23-000023,2023.0,Q2,10-Q,2023-08-03,
2022-12-31,5286834000,0000888491-23-000015,2023.0,Q1,10-Q,2023-05-03,
2022-12-31,5286834000,0000888491-23-000006,2022.0,FY,10-K,2023-02-14,
2022-09-30,5284875000,0000888491-22-000029,2022.0,Q3,10-Q,2022-11-03,CY2022Q3I
2022-06-30,5312046000,0000888491-22-000023,2022.0,Q2,10-Q,2022-08-02,CY2022Q2I
2022-03-31,5628371000,0000888491-22-000015,2022.0,Q1,10-Q,2022-05-03,CY2022Q1I
2021-12-31,5253536000,0000888491-22-000023,2022.0,Q2,10-Q,2022-08-02,
2021-12-31,5253536000,0000888491-22-000007,2021.0,FY,10-K,2022-02-17,
2021-12-31,5253536000,0000888491-22-000015,2022.0,Q1,10-Q,2022-05-03,
2021-12-31,5253536000,0000888491-22-000029,2022.0,Q3,10-Q,2022-11-03,
2021-12-31,5253536000,0000888491-23-000006,2022.0,FY,10-K,2023-02-14,CY2021Q4I
2021-09-30,5273053000,0000888491-21-000026,2021.0,Q3,10-Q,2021-11-05,CY2021Q3I
2021-06-30,5272565000,0000888491-21-000020,2021.0,Q2,10-Q,2021-08-03,CY2021Q2I
2021-03-31,5407885000,0000888491-21-000013,2021.0,Q1,10-Q,2021-05-04,CY2021Q1I
2020-12-31,5169252000,0000888491-22-000007,2021.0,FY,10-K,2022-02-17,CY2020Q4I
2020-12-31,5169252000,0000888491-21-000026,2021.0,Q3,10-Q,2021-11-05,
2020-12-31,5169252000,0000888491-21-000020,2021.0,Q2,10-Q,2021-08-03,
2020-12-31,5169252000,0000888491-21-000013,2021.0,Q1,10-Q,2021-05-04,
2020-12-31,5169252000,0000888491-21-000006,2020.0,FY,10-K,2021-02-22,
2020-09-30,5172961000,0000888491-20-000048,2020.0,Q3,10-Q,2020-11-03,CY2020Q3I
2020-06-30,5225558000,0000888491-20-000040,2020.0,Q2,10-Q,2020-08-07,CY2020Q2I
2020-03-31,5519649000,0000888491-20-000034,2020.0,Q1,10-Q,2020-05-08,CY2020Q1I
2019-12-31,5136140000,0000888491-21-000006,2020.0,FY,10-K,2021-02-22,CY2019Q4I
2019-12-31,5136140000,0000888491-20-000048,2020.0,Q3,10-Q,2020-11-03,
2019-12-31,5136140000,0000888491-20-000040,2020.0,Q2,10-Q,2020-08-07,
2019-12-31,5136140000,0000888491-20-000034,2020.0,Q1,10-Q,2020-05-08,
2019-12-31,5136140000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,
2019-09-30,4619253000,0000888491-19-000025,2019.0,Q3,10-Q,2019-11-08,CY2019Q3I
2019-06-30,4732784000,0000888491-19-000018,2019.0,Q2,10-Q,2019-08-08,CY2019Q2I
2019-03-31,4429020000,0000888491-19-000015,2019.0,Q1,10-Q,2019-05-09,CY2019Q1I
2018-12-31,4540622000,0000888491-19-000025,2019.0,Q3,10-Q,2019-11-08,
2018-12-31,4540622000,0000888491-19-000015,2019.0,Q1,10-Q,2019-05-09,
2018-12-31,4540622000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,CY2018Q4I
2018-12-31,4540622000,0000888491-19-000018,2019.0,Q2,10-Q,2019-08-08,
2018-12-31,4540622000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,
2018-09-30,4588240000,0000888491-18-000035,2018.0,Q3,10-Q,2018-11-07,CY2018Q3I
2018-06-30,4448057000,0001144204-18-042789,2018.0,Q2,10-Q,2018-08-08,CY2018Q2I
2018-03-31,4643679000,0001144204-18-026912,2018.0,Q1,10-Q,2018-05-10,CY2018Q1I
2017-12-31,4572158000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,CY2017Q4I
2017-12-31,4572158000,0000888491-18-000035,2018.0,Q3,10-Q,2018-11-07,
2017-12-31,4572158000,0001144204-18-042789,2018.0,Q2,10-Q,2018-08-08,
2017-12-31,4572158000,0001144204-18-026912,2018.0,Q1,10-Q,2018-05-10,
2017-12-31,4572158000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,
2017-09-30,4644528000,0001144204-17-056741,2017.0,Q3,10-Q,2017-11-07,CY2017Q3I
2017-06-30,4429887000,0001571049-17-007311,2017.0,Q2,10-Q,2017-08-09,CY2017Q2I
2017-03-31,4300865000,0001571049-17-004519,2017.0,Q1,10-Q,2017-05-05,
2016-12-31,4366854000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,CY2016Q4I
2016-12-31,4366854000,0001144204-17-056741,2017.0,Q3,10-Q,2017-11-07,
2016-12-31,4366854000,0001571049-17-007311,2017.0,Q2,10-Q,2017-08-09,
