start,end,val,accn,fy,fp,form,filed,frame
2025-04-01,2025-06-30,136599000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,CY2025Q2
2025-01-01,2025-06-30,245631000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,
2025-01-01,2025-03-31,109032000,0000888491-25-000016,2025,Q1,10-Q,2025-05-02,CY2025Q1
2024-04-01,2024-06-30,113862000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,CY2024Q2
2024-01-01,2024-06-30,181223000,0000888491-25-000025,2025,Q2,10-Q,2025-08-01,
2024-01-01,2024-03-31,67361000,0000888491-25-000016,2025,Q1,10-Q,2025-05-02,CY2024Q1
2015-07-02,2015-09-30,79402000,0001571049-15-008929,2015,Q3,10-Q,2015-11-06,CY2015Q3
2015-01-01,2015-09-30,163882000,0001571049-15-008929,2015,Q3,10-Q,2015-11-06,
2015-04-02,2015-06-30,41428000,0001571049-15-006238,2015,Q2,10-Q,2015-08-05,CY2015Q2
2015-01-01,2015-06-30,84480000,0001571049-15-006238,2015,Q2,10-Q,2015-08-05,
2015-01-01,2015-03-31,43052000,0001571049-15-003832,2015,Q1,10-Q,2015-05-08,CY2015Q1
2014-01-01,2014-12-31,221349000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2014
2014-10-01,2014-12-31,56990000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2014Q4
2014-07-02,2014-09-30,61713000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2014-07-02,2014-09-30,61713000,0001571049-14-005959,2014,Q3,10-Q,2014-11-07,
2014-07-01,2014-09-30,61713000,0001571049-15-008929,2015,Q3,10-Q,2015-11-06,CY2014Q3
2014-01-01,2014-09-30,164359000,0001571049-15-008929,2015,Q3,10-Q,2015-11-06,
2014-01-01,2014-09-30,164359000,0001571049-14-005959,2014,Q3,10-Q,2014-11-07,
2014-04-02,2014-07-01,46817000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2014-04-02,2014-06-30,46817000,0001571049-15-006238,2015,Q2,10-Q,2015-08-05,
2014-04-01,2014-06-30,46817000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2014Q2
2014-04-01,2014-06-30,46817000,0001571049-14-003695,2014,Q2,10-Q,2014-08-06,
2014-01-01,2014-06-30,102646000,0001571049-15-006238,2015,Q2,10-Q,2015-08-05,
2014-01-01,2014-06-30,102646000,0001571049-14-003695,2014,Q2,10-Q,2014-08-06,
2014-01-01,2014-03-31,55829000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2014-01-01,2014-03-31,55829000,0001571049-14-001530,2014,Q1,10-Q,2014-05-07,
2014-01-01,2014-03-31,55829000,0001571049-15-003832,2015,Q1,10-Q,2015-05-08,CY2014Q1
2013-10-03,2013-12-31,47206000,0001571049-15-001458,2014,FY,10-K,2015-02-27,
2013-10-01,2013-12-31,47206000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2013Q4
2013-01-01,2013-12-31,172521000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013
2013-01-01,2013-12-31,172521000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-07-01,2013-09-30,38137000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013Q3
2013-07-01,2013-09-30,38137000,0001571049-14-005959,2014,Q3,10-Q,2014-11-07,
2013-07-01,2013-09-30,38137000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-07-01,2013-09-30,38137000,0001188112-13-003244,2013,Q3,10-Q,2013-11-07,
2013-01-01,2013-09-30,125315000,0001571049-14-005959,2014,Q3,10-Q,2014-11-07,
2013-01-01,2013-09-30,125315000,0001188112-13-003244,2013,Q3,10-Q,2013-11-07,
2013-04-01,2013-06-30,49058000,0001188112-13-002234,2013,Q2,10-Q,2013-08-05,
2013-01-01,2013-06-30,87178000,0001188112-13-002234,2013,Q2,10-Q,2013-08-05,
2013-01-01,2013-06-30,87178000,0001571049-14-003695,2014,Q2,10-Q,2014-08-06,
2013-04-01,2013-06-30,49058000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-04-01,2013-06-30,49058000,0001571049-14-003695,2014,Q2,10-Q,2014-08-06,
2013-04-01,2013-06-30,49058000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013Q2
2013-01-01,2013-03-31,38120000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2013Q1
2013-01-01,2013-03-31,38120000,0001571049-14-001530,2014,Q1,10-Q,2014-05-07,
2013-01-01,2013-03-31,38120000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2013-01-01,2013-03-31,38120000,0001188112-13-001436,2013,Q1,10-Q,2013-05-09,
2012-10-01,2012-12-31,33923000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2012Q4
2012-10-01,2012-12-31,33923000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-01-01,2012-12-31,120698000,0001571049-15-001458,2014,FY,10-K,2015-02-27,CY2012
2012-01-01,2012-12-31,120698000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2012-01-01,2012-12-31,120698000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-07-01,2012-09-30,30119000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-07-01,2012-09-30,30119000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2012Q3
2012-07-01,2012-09-30,30119000,0001188112-13-003244,2013,Q3,10-Q,2013-11-07,
2012-07-01,2012-09-30,30119000,0001188112-12-003267,2012,Q3,10-Q,2012-11-07,
2012-01-01,2012-09-30,86775000,0001188112-13-003244,2013,Q3,10-Q,2013-11-07,
2012-01-01,2012-09-30,86775000,0001188112-12-003267,2012,Q3,10-Q,2012-11-07,
2012-04-01,2012-06-30,30572000,0001188112-14-000320,2013,FY,10-K,2014-02-11,
2012-04-01,2012-06-30,30572000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-04-01,2012-06-30,30572000,0001188112-12-002393,2012,Q2,10-Q,2012-08-07,
2012-03-31,2012-06-30,30572000,0001188112-13-002234,2013,Q2,10-Q,2013-08-05,CY2012Q2
2012-01-01,2012-06-30,56656000,0001188112-13-002234,2013,Q2,10-Q,2013-08-05,
2012-01-01,2012-06-30,56656000,0001188112-12-002393,2012,Q2,10-Q,2012-08-07,
2012-01-01,2012-03-31,26084000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2012Q1
2012-01-01,2012-03-31,26084000,0001188112-13-001436,2013,Q1,10-Q,2013-05-09,
2012-01-01,2012-03-31,26084000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2012-01-01,2012-03-31,26084000,0001157523-12-002645,2012,Q1,10-Q,2012-05-08,
2011-01-01,2011-12-31,52606000,0001188112-14-000320,2013,FY,10-K,2014-02-11,CY2011
2011-01-01,2011-12-31,52606000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-01-01,2011-12-31,52606000,0001188112-13-000515,2012,FY,10-K,2013-02-28,
2011-10-01,2011-12-31,19293000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q4
2011-10-01,2011-12-31,19293000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-07-01,2011-09-30,21436000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q3
2011-07-01,2011-09-30,21436000,0001188112-12-003267,2012,Q3,10-Q,2012-11-07,
2011-07-01,2011-09-30,21436000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-07-01,2011-09-30,21436000,0001157523-11-006543,2011,Q3,10-Q,2011-11-07,
2011-01-01,2011-09-30,33313000,0001188112-12-003267,2012,Q3,10-Q,2012-11-07,
2011-01-01,2011-09-30,33313000,0001157523-11-006543,2011,Q3,10-Q,2011-11-07,
2011-04-01,2011-06-30,17790000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-01-01,2011-06-30,11877000,0001157523-11-004826,2011,Q2,10-Q,2011-08-08,
2011-01-01,2011-06-30,11877000,0001188112-12-002393,2012,Q2,10-Q,2012-08-07,
2011-04-01,2011-06-30,17790000,0001157523-11-004826,2011,Q2,10-Q,2011-08-08,
2011-04-01,2011-06-30,17790000,0001188112-12-002393,2012,Q2,10-Q,2012-08-07,
2011-04-01,2011-06-30,17790000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q2
2011-01-01,2011-03-31,-5913000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2011Q1
2011-01-01,2011-03-31,-5913000,0001157523-12-002645,2012,Q1,10-Q,2012-05-08,
2011-01-01,2011-03-31,-5913000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2011-01-01,2011-03-31,-5913000,0000888491-11-000029,2011,Q1,10-Q,2011-05-09,
2010-10-01,2010-12-31,4969000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q4
2010-01-01,2010-12-31,58436000,0001188112-13-000515,2012,FY,10-K,2013-02-28,CY2010
2010-01-01,2010-12-31,58436000,0001157523-12-001056,2011,FY,10-K,2012-02-27,
2010-01-01,2010-12-31,58436000,0000888491-11-000015,2010,FY,10-K,2011-02-28,
2010-06-30,2010-09-30,17007000,0001157523-11-006543,2011,Q3,10-Q,2011-11-07,
2010-01-01,2010-09-30,53467000,0000888491-10-000049,2010,Q3,10-Q,2010-11-08,
2010-01-01,2010-09-30,53467000,0001157523-11-006543,2011,Q3,10-Q,2011-11-07,
2010-07-01,2010-09-30,17007000,0000888491-10-000049,2010,Q3,10-Q,2010-11-08,
2010-07-01,2010-09-30,17007000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q3
2010-04-01,2010-06-30,15509000,0001157523-12-001056,2011,FY,10-K,2012-02-27,CY2010Q2
2010-04-01,2010-06-30,15509000,0001157523-11-004826,2011,Q2,10-Q,2011-08-08,
2010-04-01,2010-06-30,15509000,0000888491-10-000035,2010,Q2,10-Q,2010-08-06,
2010-01-01,2010-06-30,36460000,0001157523-11-004826,2011,Q2,10-Q,2011-08-08,
