start,end,val,accn,fy,fp,form,filed,frame
2020-07-01,2020-09-30,-39476000,0000888491-20-000048,2020.0,Q3,10-Q,2020-11-03,CY2020Q3
2020-01-01,2020-09-30,264780000,0000888491-20-000048,2020.0,Q3,10-Q,2020-11-03,
2020-04-01,2020-06-30,156526000,0000888491-20-000040,2020.0,Q2,10-Q,2020-08-07,CY2020Q2
2020-01-01,2020-06-30,304256000,0000888491-20-000040,2020.0,Q2,10-Q,2020-08-07,
2020-01-01,2020-03-31,147730000,0000888491-20-000034,2020.0,Q1,10-Q,2020-05-08,CY2020Q1
2019-01-01,2019-12-31,551745000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,CY2019
2019-07-01,2019-09-30,187160000,0000888491-20-000048,2020.0,Q3,10-Q,2020-11-03,CY2019Q3
2019-07-01,2019-09-30,187160000,0000888491-19-000025,2019.0,Q3,10-Q,2019-11-08,
2019-01-01,2019-09-30,435860000,0000888491-20-000048,2020.0,Q3,10-Q,2020-11-03,
2019-01-01,2019-09-30,435860000,0000888491-19-000025,2019.0,Q3,10-Q,2019-11-08,
2019-04-01,2019-06-30,126525000,0000888491-20-000040,2020.0,Q2,10-Q,2020-08-07,CY2019Q2
2019-04-01,2019-06-30,126525000,0000888491-19-000018,2019.0,Q2,10-Q,2019-08-08,
2019-01-01,2019-06-30,248700000,0000888491-20-000040,2020.0,Q2,10-Q,2020-08-07,
2019-01-01,2019-06-30,248700000,0000888491-19-000018,2019.0,Q2,10-Q,2019-08-08,
2019-01-01,2019-03-31,122175000,0000888491-20-000034,2020.0,Q1,10-Q,2020-05-08,CY2019Q1
2019-01-01,2019-03-31,122175000,0000888491-19-000015,2019.0,Q1,10-Q,2019-05-09,
2018-01-01,2018-12-31,497590000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,
2018-01-01,2018-12-31,497590000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,CY2018
2018-07-01,2018-09-30,110672000,0000888491-19-000025,2019.0,Q3,10-Q,2019-11-08,CY2018Q3
2018-07-01,2018-09-30,116033000,0000888491-18-000035,2018.0,Q3,10-Q,2018-11-07,
2018-01-01,2018-09-30,381484000,0000888491-19-000025,2019.0,Q3,10-Q,2019-11-08,
2018-01-01,2018-09-30,372236000,0000888491-18-000035,2018.0,Q3,10-Q,2018-11-07,
2018-04-01,2018-06-30,135568000,0001144204-18-042789,2018.0,Q2,10-Q,2018-08-08,
2018-04-01,2018-06-30,132677000,0000888491-19-000018,2019.0,Q2,10-Q,2019-08-08,CY2018Q2
2018-01-01,2018-06-30,270812000,0000888491-19-000018,2019.0,Q2,10-Q,2019-08-08,
2018-01-01,2018-06-30,256203000,0001144204-18-042789,2018.0,Q2,10-Q,2018-08-08,
2018-01-01,2018-03-31,138135000,0000888491-19-000015,2019.0,Q1,10-Q,2019-05-09,CY2018Q1
2018-01-01,2018-03-31,120635000,0001144204-18-026912,2018.0,Q1,10-Q,2018-05-10,
2017-01-01,2017-12-31,261262000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,
2017-01-01,2017-12-31,315174000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,CY2017
2017-01-01,2017-12-31,315174000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,
2017-07-01,2017-09-30,-88242000,0001144204-17-056741,2017.0,Q3,10-Q,2017-11-07,
2017-01-01,2017-09-30,192063000,0001144204-17-056741,2017.0,Q3,10-Q,2017-11-07,
2017-01-01,2017-09-30,192063000,0000888491-18-000035,2018.0,Q3,10-Q,2018-11-07,
2017-07-01,2017-09-30,-88242000,0000888491-18-000035,2018.0,Q3,10-Q,2018-11-07,CY2017Q3
2017-04-01,2017-06-30,141079000,0001144204-18-042789,2018.0,Q2,10-Q,2018-08-08,CY2017Q2
2017-04-01,2017-06-30,141079000,0001571049-17-007311,2017.0,Q2,10-Q,2017-08-09,
2017-01-01,2017-06-30,280305000,0001144204-18-042789,2018.0,Q2,10-Q,2018-08-08,
2017-01-01,2017-06-30,280305000,0001571049-17-007311,2017.0,Q2,10-Q,2017-08-09,
2017-01-01,2017-03-31,139226000,0001144204-18-026912,2018.0,Q1,10-Q,2018-05-10,CY2017Q1
2017-01-01,2017-03-31,139226000,0001571049-17-004519,2017.0,Q1,10-Q,2017-05-05,
2016-01-01,2016-12-31,559953000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,CY2016
2016-01-01,2016-12-31,509745000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,
2016-01-01,2016-12-31,509745000,0001571049-17-001590,2016.0,FY,10-K,2017-02-24,
2016-07-01,2016-09-30,124313000,0001144204-17-056741,2017.0,Q3,10-Q,2017-11-07,CY2016Q3
2016-07-01,2016-09-30,124313000,0001571049-16-019636,2016.0,Q3,10-Q,2016-11-08,
2016-01-01,2016-09-30,363095000,0001144204-17-056741,2017.0,Q3,10-Q,2017-11-07,
2016-01-01,2016-09-30,363095000,0001571049-16-019636,2016.0,Q3,10-Q,2016-11-08,
2016-01-01,2016-06-30,238782000,0001571049-17-007311,2017.0,Q2,10-Q,2017-08-09,
2016-01-01,2016-06-30,238782000,0001571049-16-017146,2016.0,Q2,10-Q,2016-08-05,
2016-04-01,2016-06-30,142244000,0001571049-16-017146,2016.0,Q2,10-Q,2016-08-05,
2016-04-01,2016-06-30,142244000,0001571049-17-007311,2017.0,Q2,10-Q,2017-08-09,CY2016Q2
2016-01-01,2016-03-31,96538000,0001571049-17-004519,2017.0,Q1,10-Q,2017-05-05,
2016-01-01,2016-03-31,96538000,0001571049-16-014962,2016.0,Q1,10-Q,2016-05-06,
2015-01-01,2015-12-31,411269000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,CY2015
2015-01-01,2015-12-31,411269000,0001571049-17-001590,2016.0,FY,10-K,2017-02-24,
2015-01-01,2015-12-31,411269000,0001571049-16-012234,2015.0,FY,10-K,2016-02-29,
2015-07-02,2015-09-30,126072000,0001571049-15-008929,2015.0,Q3,10-Q,2015-11-06,
2015-07-01,2015-09-30,126072000,0001571049-16-019636,2016.0,Q3,10-Q,2016-11-08,CY2015Q3
2015-01-01,2015-09-30,286274000,0001571049-16-019636,2016.0,Q3,10-Q,2016-11-08,
2015-01-01,2015-09-30,286274000,0001571049-15-008929,2015.0,Q3,10-Q,2015-11-06,
2015-04-02,2015-06-30,74254000,0001571049-16-017146,2016.0,Q2,10-Q,2016-08-05,CY2015Q2
2015-04-02,2015-06-30,74254000,0001571049-15-006238,2015.0,Q2,10-Q,2015-08-05,
2015-01-01,2015-06-30,160202000,0001571049-16-017146,2016.0,Q2,10-Q,2016-08-05,
2015-01-01,2015-06-30,160202000,0001571049-15-006238,2015.0,Q2,10-Q,2015-08-05,
2015-01-01,2015-03-31,85948000,0001571049-16-014962,2016.0,Q1,10-Q,2016-05-06,CY2015Q1
2015-01-01,2015-03-31,85948000,0001571049-15-003832,2015.0,Q1,10-Q,2015-05-08,
2014-01-01,2014-12-31,345311000,0001571049-17-001590,2016.0,FY,10-K,2017-02-24,
2014-01-01,2014-12-31,345311000,0001571049-16-012234,2015.0,FY,10-K,2016-02-29,
2014-01-01,2014-12-31,345311000,0001571049-15-001458,2014.0,FY,10-K,2015-02-27,
2014-07-02,2014-09-30,92221000,0001571049-14-005959,2014.0,Q3,10-Q,2014-11-07,
2014-07-01,2014-09-30,92221000,0001571049-15-008929,2015.0,Q3,10-Q,2015-11-06,CY2014Q3
2014-01-01,2014-09-30,255040000,0001571049-15-008929,2015.0,Q3,10-Q,2015-11-06,
2014-01-01,2014-09-30,255040000,0001571049-14-005959,2014.0,Q3,10-Q,2014-11-07,
2014-04-01,2014-06-30,79838000,0001571049-14-003695,2014.0,Q2,10-Q,2014-08-06,CY2014Q2
2014-01-01,2014-06-30,162819000,0001571049-14-003695,2014.0,Q2,10-Q,2014-08-06,
2014-01-01,2014-06-30,162819000,0001571049-15-006238,2015.0,Q2,10-Q,2015-08-05,
2014-04-02,2014-06-30,79838000,0001571049-15-006238,2015.0,Q2,10-Q,2015-08-05,
2014-01-01,2014-03-31,82981000,0001571049-15-003832,2015.0,Q1,10-Q,2015-05-08,CY2014Q1
2014-01-01,2014-03-31,82981000,0001571049-14-001530,2014.0,Q1,10-Q,2014-05-07,
2013-01-01,2013-12-31,265679000,0001571049-16-012234,2015.0,FY,10-K,2016-02-29,
2013-01-01,2013-12-31,265679000,0001571049-15-001458,2014.0,FY,10-K,2015-02-27,
2013-01-01,2013-12-31,265679000,0001188112-14-000320,2013.0,FY,10-K,2014-02-11,
2013-01-01,2013-09-30,192529000,0001571049-14-005959,2014.0,Q3,10-Q,2014-11-07,
2013-01-01,2013-09-30,192529000,0001188112-13-003244,2013.0,Q3,10-Q,2013-11-07,
2013-07-01,2013-09-30,63325000,0001188112-13-003244,2013.0,Q3,10-Q,2013-11-07,
2013-07-01,2013-09-30,63325000,0001571049-14-005959,2014.0,Q3,10-Q,2014-11-07,CY2013Q3
2013-04-01,2013-06-30,64733000,0001571049-14-003695,2014.0,Q2,10-Q,2014-08-06,CY2013Q2
