end,val,accn,fy,fp,form,filed,frame
2025-06-30,2479660000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,CY2025Q2I
2025-03-31,2393902000,0001492298-25-000016,2025,Q1,10-Q,2025-05-05,CY2025Q1I
2024-12-31,2417648000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2024Q4I
2024-09-30,2470207000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,CY2024Q3I
2024-06-30,2446616000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,CY2024Q2I
2024-03-31,2463385000,0001492298-24-000014,2024,Q1,10-Q,2024-05-08,CY2024Q1I
2023-12-31,2414103000,0001492298-24-000008,2023,FY,10-K,2024-02-27,CY2023Q4I
2023-09-30,2349478000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,CY2023Q3I
2023-06-30,2420036000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,CY2023Q2I
2023-03-31,2396618000,0001492298-23-000014,2023,Q1,10-Q,2023-05-03,CY2023Q1I
2022-12-31,2506774000,0001492298-23-000006,2022,FY,10-K,2023-02-21,CY2022Q4I
2022-09-30,2446942000,0001492298-22-000033,2022,Q3,10-Q,2022-11-07,CY2022Q3I
2022-06-30,2480221000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,CY2022Q2I
2022-03-31,2357530000,0001492298-22-000020,2022,Q1,10-Q,2022-05-04,CY2022Q1I
2021-12-31,2394475000,0001492298-22-000014,2021,FY,10-K,2022-02-22,CY2021Q4I
2021-09-30,2702087000,0001492298-21-000050,2021,Q3,10-Q,2021-11-03,CY2021Q3I
2021-06-30,2266311000,0001492298-21-000039,2021,Q2,10-Q,2021-08-04,CY2021Q2I
2021-03-31,2281578000,0001492298-21-000025,2021,Q1,10-Q,2021-05-05,CY2021Q1I
2020-12-31,2372374000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2020-09-30,2422984000,0001492298-20-000039,2020,Q3,10-Q,2020-11-05,CY2020Q3I
2020-06-30,2455293000,0001492298-20-000025,2020,Q2,10-Q,2020-08-05,CY2020Q2I
2020-03-31,2479346000,0001492298-20-000015,2020,Q1,10-Q,2020-05-06,CY2020Q1I
2019-12-31,2402101000,0001492298-20-000007,2019,FY,10-K,2020-02-24,CY2019Q4I
2019-09-30,2603111000,0001492298-19-000039,2019,Q3,10-Q,2019-10-30,CY2019Q3I
2019-06-30,2685967000,0001492298-19-000034,2019,Q2,10-Q,2019-08-07,CY2019Q2I
2019-03-31,3230230000,0001492298-19-000014,2019,Q1,10-Q,2019-05-08,CY2019Q1I
2018-12-31,3232003000,0001492298-19-000006,2018,FY,10-K,2019-02-25,CY2018Q4I
2018-09-30,3368594000,0001492298-18-000033,2018,Q3,10-Q,2018-11-05,CY2018Q3I
2018-06-30,3423807000,0001492298-18-000027,2018,Q2,10-Q,2018-08-08,CY2018Q2I
2018-03-31,3361106000,0001492298-18-000018,2018,Q1,10-Q,2018-05-09,CY2018Q1I
2017-12-31,3394490000,0001492298-18-000008,2017,FY,10-K,2018-02-21,CY2017Q4I
2017-09-30,3005454000,0001492298-17-000043,2017,Q3,10-Q,2017-11-01,CY2017Q3I
2017-06-30,1220122000,0001492298-17-000026,2017,Q2,10-Q,2017-08-02,CY2017Q2I
2017-03-31,1202376000,0001492298-17-000018,2017,Q1,10-Q,2017-05-08,CY2017Q1I
2016-12-31,1210671000,0001492298-17-000006,2016,FY,10-K,2017-02-22,CY2016Q4I
2016-09-30,1187378000,0001492298-16-000088,2016,Q3,10-Q,2016-11-02,CY2016Q3I
2016-06-30,1199881000,0001492298-16-000082,2016,Q2,10-Q,2016-08-01,CY2016Q2I
2016-03-31,1398010000,0001492298-16-000072,2016,Q1,10-Q,2016-05-03,CY2016Q1I
2015-12-31,1397740000,0001492298-16-000054,2015,FY,10-K,2016-02-22,CY2015Q4I
2015-09-30,1339721000,0001492298-15-000044,2015,Q3,10-Q,2015-11-09,CY2015Q3I
2015-06-30,1237098000,0001492298-15-000033,2015,Q2,10-Q,2015-08-04,CY2015Q2I
2015-03-31,1049325000,0001492298-15-000017,2015,Q1,10-Q,2015-05-06,CY2015Q1I
2014-12-31,1092022000,0001492298-15-000010,2014,FY,10-K,2015-02-19,CY2014Q4I
2014-09-30,1288714000,0001492298-14-000051,2014,Q3,10-Q,2014-11-04,CY2014Q3I
2014-06-30,675400000,0001492298-14-000039,2014,Q2,10-Q,2014-08-04,CY2014Q2I
2014-03-31,842106000,0001492298-14-000023,2014,Q1,10-Q,2014-05-05,CY2014Q1I
2013-12-31,688078000,0001492298-14-000011,2013,FY,10-K,2014-02-28,CY2013Q4I
2013-09-30,553491000,0001492298-13-000046,2013,Q3,10-Q,2013-11-04,CY2013Q3I
2013-06-30,554379000,0001492298-13-000038,2013,Q2,10-Q,2013-08-05,CY2013Q2I
2013-03-31,476333000,0001492298-13-000022,2013,Q1,10-Q,2013-05-06,CY2013Q1I
2012-12-31,569822000,0001492298-13-000009,2012,FY,10-K,2013-03-14,CY2012Q4I
2012-09-30,482025000,0001492298-12-000049,2012,Q3,10-Q,2012-10-30,CY2012Q3I
2012-06-30,424880000,0001492298-12-000041,2012,Q2,10-Q,2012-08-02,CY2012Q2I
