start,end,val,accn,fy,fp,form,filed,frame
2025-04-01,2025-06-30,65542000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,CY2025Q2
2025-01-01,2025-06-30,105846000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,
2025-01-01,2025-03-31,40304000,0001492298-25-000016,2025,Q1,10-Q,2025-05-05,CY2025Q1
2024-01-01,2024-12-31,126712000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2024
2024-07-01,2024-09-30,29788000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,CY2024Q3
2024-01-01,2024-09-30,80017000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,
2024-04-01,2024-06-30,23975000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,
2024-01-01,2024-06-30,50229000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,
2024-01-01,2024-06-30,50229000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,
2024-04-01,2024-06-30,23975000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,CY2024Q2
2024-01-01,2024-03-31,26254000,0001492298-25-000016,2025,Q1,10-Q,2025-05-05,CY2024Q1
2024-01-01,2024-03-31,26254000,0001492298-24-000014,2024,Q1,10-Q,2024-05-08,
2023-01-01,2023-12-31,13756000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2023
2023-01-01,2023-12-31,13756000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2023-07-01,2023-09-30,-15101000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,CY2023Q3
2023-07-01,2023-09-30,-15101000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,
2023-01-01,2023-09-30,-3400000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,
2023-01-01,2023-09-30,-3400000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,
2023-04-01,2023-06-30,21188000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,
2023-01-01,2023-06-30,11701000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,
2023-01-01,2023-06-30,11701000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,
2023-04-01,2023-06-30,21188000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,CY2023Q2
2023-01-01,2023-03-31,-9487000,0001492298-24-000014,2024,Q1,10-Q,2024-05-08,CY2023Q1
2023-01-01,2023-03-31,-9487000,0001492298-23-000014,2023,Q1,10-Q,2023-05-03,
2022-01-01,2022-12-31,-77605000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2022
2022-01-01,2022-12-31,-77605000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2022-01-01,2022-12-31,-77605000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2022-01-01,2022-09-30,7343000,0001492298-22-000033,2022,Q3,10-Q,2022-11-07,
2022-07-01,2022-09-30,-50064000,0001492298-22-000033,2022,Q3,10-Q,2022-11-07,
2022-01-01,2022-09-30,7343000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,
2022-07-01,2022-09-30,-50064000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,CY2022Q3
2022-04-01,2022-06-30,16805000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,CY2022Q2
2022-04-01,2022-06-30,16805000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,
2022-01-01,2022-06-30,57407000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,
2022-01-01,2022-06-30,57407000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,
2022-01-01,2022-03-31,40602000,0001492298-23-000014,2023,Q1,10-Q,2023-05-03,CY2022Q1
2022-01-01,2022-03-31,40602000,0001492298-22-000020,2022,Q1,10-Q,2022-05-04,
2021-01-01,2021-12-31,-113256000,0001492298-22-000014,2021,FY,10-K,2022-02-22,
2021-01-01,2021-12-31,-113256000,0001492298-24-000008,2023,FY,10-K,2024-02-27,CY2021
2021-01-01,2021-12-31,-113256000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2021-01-01,2021-09-30,-88903000,0001492298-22-000033,2022,Q3,10-Q,2022-11-07,
2021-01-01,2021-09-30,-88903000,0001492298-21-000050,2021,Q3,10-Q,2021-11-03,
2021-07-01,2021-09-30,10223000,0001492298-21-000050,2021,Q3,10-Q,2021-11-03,
2021-07-01,2021-09-30,10223000,0001492298-22-000033,2022,Q3,10-Q,2022-11-07,CY2021Q3
2021-04-01,2021-06-30,-132573000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,CY2021Q2
2021-04-01,2021-06-30,-132573000,0001492298-21-000039,2021,Q2,10-Q,2021-08-04,
2021-01-01,2021-06-30,-99126000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,
2021-01-01,2021-06-30,-99126000,0001492298-21-000039,2021,Q2,10-Q,2021-08-04,
2021-01-01,2021-03-31,33447000,0001492298-22-000020,2022,Q1,10-Q,2022-05-04,CY2021Q1
2020-01-01,2020-12-31,138417000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2020-01-01,2020-12-31,138417000,0001492298-22-000014,2021,FY,10-K,2022-02-22,
2020-01-01,2020-12-31,138417000,0001492298-23-000006,2022,FY,10-K,2023-02-21,CY2020
2020-07-01,2020-09-30,36460000,0001492298-21-000050,2021,Q3,10-Q,2021-11-03,CY2020Q3
2020-01-01,2020-09-30,101300000,0001492298-21-000050,2021,Q3,10-Q,2021-11-03,
2020-04-01,2020-06-30,29623000,0001492298-21-000039,2021,Q2,10-Q,2021-08-04,CY2020Q2
2020-01-01,2020-06-30,64840000,0001492298-21-000039,2021,Q2,10-Q,2021-08-04,
2019-01-01,2019-12-31,68996000,0001492298-22-000014,2021,FY,10-K,2022-02-22,CY2019
2019-01-01,2019-12-31,68996000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2019-01-01,2019-12-31,68996000,0001492298-20-000007,2019,FY,10-K,2020-02-24,
2019-07-01,2019-09-30,23282000,0001492298-19-000039,2019,Q3,10-Q,2019-10-30,CY2019Q3
2019-01-01,2019-09-30,29255000,0001492298-19-000039,2019,Q3,10-Q,2019-10-30,
2019-01-01,2019-06-30,5973000,0001492298-19-000034,2019,Q2,10-Q,2019-08-07,
2019-04-01,2019-06-30,83677000,0001492298-19-000034,2019,Q2,10-Q,2019-08-07,CY2019Q2
2019-01-01,2019-03-31,-77704000,0001492298-19-000014,2019,Q1,10-Q,2019-05-08,CY2019Q1
2018-01-01,2018-12-31,279082000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2018-01-01,2018-12-31,279082000,0001492298-20-000007,2019,FY,10-K,2020-02-24,
2018-01-01,2018-12-31,279082000,0001492298-19-000006,2018,FY,10-K,2019-02-25,
2018-07-01,2018-09-30,35218000,0001492298-19-000039,2019,Q3,10-Q,2019-10-30,CY2018Q3
2018-07-01,2018-09-30,35218000,0001492298-18-000033,2018,Q3,10-Q,2018-11-05,
2018-01-01,2018-09-30,298476000,0001492298-19-000039,2019,Q3,10-Q,2019-10-30,
2018-01-01,2018-09-30,298476000,0001492298-18-000033,2018,Q3,10-Q,2018-11-05,
2018-04-01,2018-06-30,200787000,0001492298-19-000034,2019,Q2,10-Q,2019-08-07,CY2018Q2
2018-04-01,2018-06-30,200787000,0001492298-18-000027,2018,Q2,10-Q,2018-08-08,
2018-01-01,2018-06-30,263258000,0001492298-19-000034,2019,Q2,10-Q,2019-08-07,
2018-01-01,2018-06-30,263258000,0001492298-18-000027,2018,Q2,10-Q,2018-08-08,
2018-01-01,2018-03-31,62471000,0001492298-19-000014,2019,Q1,10-Q,2019-05-08,CY2018Q1
2018-01-01,2018-03-31,62471000,0001492298-18-000018,2018,Q1,10-Q,2018-05-09,
2017-01-01,2017-12-31,158383000,0001492298-19-000006,2018,FY,10-K,2019-02-25,
2017-01-01,2017-12-31,158383000,0001492298-18-000008,2017,FY,10-K,2018-02-21,
2017-01-01,2017-12-31,158383000,0001492298-20-000007,2019,FY,10-K,2020-02-24,CY2017
2017-07-01,2017-09-30,15095000,0001492298-17-000043,2017,Q3,10-Q,2017-11-01,
2017-01-01,2017-09-30,54438000,0001492298-17-000043,2017,Q3,10-Q,2017-11-01,
2017-07-01,2017-09-30,15095000,0001492298-18-000033,2018,Q3,10-Q,2018-11-05,CY2017Q3
2017-01-01,2017-09-30,54438000,0001492298-18-000033,2018,Q3,10-Q,2018-11-05,
2017-04-01,2017-06-30,20520000,0001492298-18-000027,2018,Q2,10-Q,2018-08-08,CY2017Q2
