state,facility_name,facility_type,street_address,city,county,zip
Alabama,Avalon Place (Cypress Cove),Skilled Nursing Facility,200 Alabama Avenue,Muscle Shoals,Colbert,35661
Alabama,Brookshire (fka Westside),Skilled Nursing Facility,4320 Judith Lane,Huntsville,Madison,35805
Alabama,Canterbury Health Center,Skilled Nursing Facility,1720 Knowles Road,Phoenix City,Russell,36867
Alabama,Cottage of the Shoals,Skilled Nursing Facility,500 John Aldridge Drive,Tuscumbia,Colbert,35674
Alabama,Keller Landing,Skilled Nursing Facility,813 Keller Lane,Tuscumbia,Colbert,35674
Alabama,Lynwood Nursing Home,Skilled Nursing Facility,4164 Halls Mill Road,Mobile,Mobile,36693
Alabama,Merrywood Lodge,Skilled Nursing Facility,"280 Mount Hebron Road, P.O. Box 130",Elmore,Elmore,36025
Alabama,Northside Health Care,Skilled Nursing Facility,700 Hutchins Avenue,Gadsden,Etowah,35901
Alabama,River City,Skilled Nursing Facility,1350 14th Avenue SE,Decatur,Morgan,35601
Arizona,Encanto Palms,Assisted Living Facility,3901 West Encanto Boulevard,Phoenix,Maricopa,85009
Arizona,Maryland Gardens,Skilled Nursing Facility,31 West Maryland Avenue,Phoenix,Maricopa,85013
Arizona,Palm Valley,Skilled Nursing Facility,13575 West McDowell Road,Goodyear,Maricopa,85338
Arizona,Ridgecrest,Skilled Nursing Facility,16640 North 38th Street,Phoenix,Maricopa,85032
Arizona,Sandridge (Mesa Christian),Skilled Nursing Facility,255 West Brown Road,Mesa,Maricopa,85201
Arizona,Santa Catalina,Independent Living Facility,7500 North Calle Sin Envidia,Tucson,Pima,85718
Arizona,Silverwood (L'Estancia),Skilled Nursing Facility,15810 South 42nd Street,Phoenix,Maricopa,85048
Arizona,Sun City,Skilled Nursing Facility,9940 West Union Hills Drive,Sun City,Maricopa,85373
Arizona,Verde Valley (Austin House),Assisted Living Facility,195 South Willard Street,Cottonwood,Yavapai,86326
Arkansas,Ash Flat Nursing & Rehab Center,Skilled Nursing Facility,66 Ozbirn Lane,Ash Flat,Sharp,72513
